path,current_role,usefulness,recommended_category,public_exposure,target_action,notes
hydromodpy/__init__.py,large root public surface,high,public_api,shrink,narrow_public_api,Keep a short canonical import surface and stop mixing core and compat exports.
launchers/__init__.py,convenience entrypoint,medium,workflows_compat,compat_only,compat_wrapper_only,Reexport workflows temporarily instead of defining primary public entrypoints here.
hydromodpy/process,physical process core,high,core,public,keep_canonical,Canonical domain layer.
hydromodpy/solver,solver core plus adapters,high,core_plus_adapters,public_targeted,split,Separate solver core from mesh io and visualization helpers.
hydromodpy/solver/utils/mesh/gmsh_grid/zone_meshing,mesh algorithms,high,core,public_targeted,keep_and_relocate,Strong algorithmic value but current utils path is misleading.
hydromodpy/solver/utils/mesh/gmsh_grid/catchment_mesh_bundle.py,exchange bundle io,high,io,public_targeted,move_to_io,Useful connector for external reuse, not core meshing.
hydromodpy/solver/utils/mesh/gmsh_grid/interactive_3d_viewer.py,interactive QA viewer,medium,display,public_optional,move_to_display,Visualization layer should not live beside meshing core.
hydromodpy/solver/utils/mesh/gmsh_grid/cases,manual review and examples,medium,cases,non_canonical,keep_support,Useful for review and regression but not core runtime.
hydromodpy/simulation,workflow planning and execution,high,workflows,public,keep_and_grow,This should become the clearly visible orchestration layer.
launchers/process_simulation,simulation workflow runner,high,workflows,compat_only,move_to_workflows,Current launcher still contains real orchestration logic.
launchers/model_calibration,calibration workflow runtime,high,workflows,compat_only,move_to_workflows,Too substantive to remain framed as launcher glue.
launchers/method_comparison,comparison workflow and reporting,high,workflows,compat_only,move_to_workflows,Useful reproducible workflow, not just CLI glue.
hydromodpy/analysis/calibration/core,generic calibration engine,high,core,public,keep_canonical,This is the right place for reusable optimization logic.
hydromodpy/analysis/display,plots and reports,high,display,public_targeted,keep_canonical,Clear exploitation layer.
hydromodpy/analysis/postprocess,postprocessing and outputs,high,display,public_targeted,keep_canonical,Keep distinct from runtime orchestration.
hydromodpy/data,data managers and loaders,high,io_plus_adapters,public_targeted,clarify_sub_layers,Split pure IO from runtime loading/orchestration helpers where needed.
hydromodpy/core/workspace,workspace and path contracts,high,io,public_targeted,keep_canonical,Boundary and persistence contracts.
hydromodpy/config,compatibility facade,medium,legacy,deprecated,mark_legacy,Keep only as a transition namespace.
hydromodpy/modeling,compatibility facade,medium,legacy,deprecated,mark_legacy,Should not compete with canonical package areas.
hydromodpy/watershed,legacy monolithic object,medium,legacy,deprecated,quarantine_legacy,Useful for regression and notebooks but should be visibly historical.
tests,verification and regression proof,high,support,non_canonical,keep_support,Useful evidence but not product architecture.
validation_cases,scientific validation proof,high,support,non_canonical,keep_support,Important for trust and reproducibility.
examples,usage examples,medium,support,non_canonical,keep_support,Should promote canonical imports only.
examples_legacy,legacy usage examples,medium,legacy_support,non_canonical,mark_legacy,Keep available but clearly segregated from current guidance.
tools,dev and reporting tooling,medium,support,non_canonical,keep_support,Useful for maintenance and reporting, not runtime core.
