date,source,commit,short_commit,commit_changed_from_previous_day,source_files,nonblank_source_lines,subject
2026-03-12,git,5f85fc4370f8ae0a3b1f90766748fa24e5352b22,5f85fc43,true,664,107243,Split launcher regression tiers by solver family
2026-03-13,git,c2c735628164c402266704948191bf4c77969d5b,c2c73562,true,762,116223,[tests] - Adjust tolerance for sum elevation metric in regression test
2026-03-14,git,2f9bd34a091bcb5b3b7d0c2e31fb8e9a6ce2de0b,2f9bd34a,true,699,112519,Add gmsh mesh workflows and mesh architecture docs
2026-03-15,git,1f180ad951e531dd0089ed98f98ad03d670ce89a,1f180ad9,true,756,124701,chore: add rivers constraints settings to mesh catchment example
2026-03-16,git,a63b8fe93dea8d13e49cbbce51016b843f0bed14,a63b8fe9,true,875,133140,[core] - Add project creation and listing commands to CLI
2026-03-17,git,3d933eee84641e00c3b93d5551f9cb2d220912dc,3d933eee,true,912,140661,Merge remote-tracking branch 'origin/dev-refact' into dev-refact
2026-03-18,git,c6539b62a1404786a1ea9d44fdf3927c05cdef4a,c6539b62,true,940,146005,feat: track source units in custom data managers
2026-03-19,git,be0fdf0b1891b38503e92b969758673d75796da2,be0fdf0b,true,944,144600,[units] - Refactor unit conversion logic and add radiation support
2026-03-20,git,40882028114a4e2e61ae5f0de9bf403add199c38,40882028,true,947,145805,[tests] - Remove unused source path fields from test case
2026-03-21,git,2c38d39d6e79cebe3d871c56b34d47b445693463,2c38d39d,true,970,151975,refactor: type conformal scope and source payloads
2026-03-22,git,7db189f1134d365041bd68f6ee65738df7d68d52,7db189f1,true,1043,162913,refactor: simplify mesh workflows and boussinesq inputs
2026-03-23,git,aa4477cc96f307c0710c8974c3291240098383d5,aa4477cc,true,1043,163652,[example] - add example 02
2026-03-24,git,f4e984aabd8861452befff35438563d53bca0f2e,f4e984aa,true,1057,167614,Prepare repo layout for mesh gallery bundles
2026-03-25,git,17fd46b32a1aa374533371d4b4735f1084d80eda,17fd46b3,true,1093,171937,Ignore local pytest temp directories
2026-03-26,git,17fd46b32a1aa374533371d4b4735f1084d80eda,17fd46b3,false,1093,171937,Ignore local pytest temp directories
2026-03-27,git,a3affa7a00d181b06c34ded9ae5c2dce13a9a176,a3affa7a,true,1093,171797,Merge branch 'dev-refact' of https://github.com/HydroModPy/HydroModPy into dev-refact
2026-03-28,git,a3affa7a00d181b06c34ded9ae5c2dce13a9a176,a3affa7a,false,1093,171797,Merge branch 'dev-refact' of https://github.com/HydroModPy/HydroModPy into dev-refact
2026-03-29,git,a3affa7a00d181b06c34ded9ae5c2dce13a9a176,a3affa7a,false,1093,171797,Merge branch 'dev-refact' of https://github.com/HydroModPy/HydroModPy into dev-refact
2026-03-30,git,a3affa7a00d181b06c34ded9ae5c2dce13a9a176,a3affa7a,false,1093,171797,Merge branch 'dev-refact' of https://github.com/HydroModPy/HydroModPy into dev-refact
2026-03-31,git,a3affa7a00d181b06c34ded9ae5c2dce13a9a176,a3affa7a,false,1093,171797,Merge branch 'dev-refact' of https://github.com/HydroModPy/HydroModPy into dev-refact
2026-04-01,git,1e5c3ee2e9a287d6f354a98f7e88ffdacb1b9062,1e5c3ee2,true,1095,172460,[display] - Add post-hoc display functionality for simulation outputs
2026-04-02,git,1e5c3ee2e9a287d6f354a98f7e88ffdacb1b9062,1e5c3ee2,false,1095,172460,[display] - Add post-hoc display functionality for simulation outputs
2026-04-03,git,f7798b8990ea32adca5b9c873de38ebfdeaf29ec,f7798b89,true,1124,179114,Add validation CLI support and WSL dev setup
2026-04-04,git,f7798b8990ea32adca5b9c873de38ebfdeaf29ec,f7798b89,false,1124,179114,Add validation CLI support and WSL dev setup
2026-04-05,git,f7798b8990ea32adca5b9c873de38ebfdeaf29ec,f7798b89,false,1124,179114,Add validation CLI support and WSL dev setup
2026-04-06,git,f7798b8990ea32adca5b9c873de38ebfdeaf29ec,f7798b89,false,1124,179114,Add validation CLI support and WSL dev setup
2026-04-07,git,f7798b8990ea32adca5b9c873de38ebfdeaf29ec,f7798b89,false,1124,179114,Add validation CLI support and WSL dev setup
2026-04-08,git,f7798b8990ea32adca5b9c873de38ebfdeaf29ec,f7798b89,false,1124,179114,Add validation CLI support and WSL dev setup
2026-04-09,git,5d5e34d771ba93ba427eb1cfd7285ee30a85afab,5d5e34d7,true,1146,185326,Add PETSc runtimes and DISV workflow groundwork
2026-04-10,git,a8121c1bc8665c161e0b0a58364723b180da5bd6,a8121c1b,true,1164,186888,Add mesh-catchment onboarding and launcher diagrams
2026-04-11,git,4a18f1952ac3be23f120c3213d0feb34abc056ae,4a18f195,true,1172,190744,Honor calibration iteration history setting
2026-04-12,git,c6791caf2d14fb47549508580d4468846b919e27,c6791caf,true,1193,200098,Prefer runtime-first calibration support
2026-04-12,working_tree,WORKTREE,WORKTREE,n/a,1214,205428,Etat courant incluant modifications non commitees et fichiers non ignores
